label,image
1-1,https://raw.githubusercontent.com/rayzg/other-games/master/octalion/playingcards.io/1-1.svg
1-2,https://raw.githubusercontent.com/rayzg/other-games/master/octalion/playingcards.io/1-2.svg
1-3,https://raw.githubusercontent.com/rayzg/other-games/master/octalion/playingcards.io/1-3.svg
1-4,https://raw.githubusercontent.com/rayzg/other-games/master/octalion/playingcards.io/1-4.svg
1-5,https://raw.githubusercontent.com/rayzg/other-games/master/octalion/playingcards.io/1-5.svg
1-6,https://raw.githubusercontent.com/rayzg/other-games/master/octalion/playingcards.io/1-6.svg
1-7,https://raw.githubusercontent.com/rayzg/other-games/master/octalion/playingcards.io/1-7.svg
1-8,https://raw.githubusercontent.com/rayzg/other-games/master/octalion/playingcards.io/1-8.svg
2-2,https://raw.githubusercontent.com/rayzg/other-games/master/octalion/playingcards.io/2-2.svg
2-3,https://raw.githubusercontent.com/rayzg/other-games/master/octalion/playingcards.io/2-3.svg
2-4,https://raw.githubusercontent.com/rayzg/other-games/master/octalion/playingcards.io/2-4.svg
2-5,https://raw.githubusercontent.com/rayzg/other-games/master/octalion/playingcards.io/2-5.svg
2-6,https://raw.githubusercontent.com/rayzg/other-games/master/octalion/playingcards.io/2-6.svg
2-7,https://raw.githubusercontent.com/rayzg/other-games/master/octalion/playingcards.io/2-7.svg
2-8,https://raw.githubusercontent.com/rayzg/other-games/master/octalion/playingcards.io/2-8.svg
3-3,https://raw.githubusercontent.com/rayzg/other-games/master/octalion/playingcards.io/3-3.svg
3-4,https://raw.githubusercontent.com/rayzg/other-games/master/octalion/playingcards.io/3-4.svg
3-5,https://raw.githubusercontent.com/rayzg/other-games/master/octalion/playingcards.io/3-5.svg
3-6,https://raw.githubusercontent.com/rayzg/other-games/master/octalion/playingcards.io/3-6.svg
3-7,https://raw.githubusercontent.com/rayzg/other-games/master/octalion/playingcards.io/3-7.svg
3-8,https://raw.githubusercontent.com/rayzg/other-games/master/octalion/playingcards.io/3-8.svg
4-4,https://raw.githubusercontent.com/rayzg/other-games/master/octalion/playingcards.io/4-4.svg
4-5,https://raw.githubusercontent.com/rayzg/other-games/master/octalion/playingcards.io/4-5.svg
4-6,https://raw.githubusercontent.com/rayzg/other-games/master/octalion/playingcards.io/4-6.svg
4-7,https://raw.githubusercontent.com/rayzg/other-games/master/octalion/playingcards.io/4-7.svg
4-8,https://raw.githubusercontent.com/rayzg/other-games/master/octalion/playingcards.io/4-8.svg
5-5,https://raw.githubusercontent.com/rayzg/other-games/master/octalion/playingcards.io/5-5.svg
5-6,https://raw.githubusercontent.com/rayzg/other-games/master/octalion/playingcards.io/5-6.svg
5-7,https://raw.githubusercontent.com/rayzg/other-games/master/octalion/playingcards.io/5-7.svg
5-8,https://raw.githubusercontent.com/rayzg/other-games/master/octalion/playingcards.io/5-8.svg
6-6,https://raw.githubusercontent.com/rayzg/other-games/master/octalion/playingcards.io/6-6.svg
6-7,https://raw.githubusercontent.com/rayzg/other-games/master/octalion/playingcards.io/6-7.svg
6-8,https://raw.githubusercontent.com/rayzg/other-games/master/octalion/playingcards.io/6-8.svg
7-7,https://raw.githubusercontent.com/rayzg/other-games/master/octalion/playingcards.io/7-7.svg
7-8,https://raw.githubusercontent.com/rayzg/other-games/master/octalion/playingcards.io/7-8.svg
8-8,https://raw.githubusercontent.com/rayzg/other-games/master/octalion/playingcards.io/8-8.svg
,https://raw.githubusercontent.com/rayzg/other-games/master/octalion/playingcards.io/